Event_Category,Time_Of_Day,Expected_Crowd,Environment_Type,Max_Venue_Capacity,Venue_Area_Sq_Meters,Number_Of_Fire_Exits,Event_Date,Duration_Hours,Latitude,Longitude,Has_Fireworks,Has_Temp_Structures,VIP_Attendance,Loudspeaker_Used,Road_Closure_Required,Is_Moving_Procession,Food_Stalls_Present,Liquor_Served,Risk_Level
Sports Match,Afternoon,17592,Indoor,19514,29387,4,2026-09-12,4,19.343814,72.689694,0,1,1,1,0,0,1,0,Medium
Sports Match,Afternoon,3924,Outdoor,8188,20276,27,2026-09-20,6,19.323486,73.491271,0,0,0,1,0,0,1,0,Low
Political Rally,Morning,17841,Outdoor,19464,35587,4,2026-07-08,4,18.149894,73.674844,0,1,0,1,0,0,1,0,Medium
Private Function,Night,535,Indoor,1531,5133,5,2026-09-13,3,19.119004,73.196916,0,0,0,0,0,0,1,0,Low
Sports Match,Morning,28781,Outdoor,30262,50770,6,2026-08-21,7,18.972074,72.524393,1,1,1,1,0,0,1,0,High
Political Rally,Evening,31019,Indoor,35566,70579,7,2026-09-23,6,18.250845,73.100077,0,0,1,1,1,0,1,0,Medium
Private Function,Afternoon,506,Indoor,1380,3053,4,2026-06-28,3,19.115043,72.940779,0,0,0,0,0,0,0,0,Low
Sports Match,Evening,27859,Indoor,31470,58695,6,2026-06-24,7,18.975315,73.253856,0,1,1,1,0,0,1,0,Medium
Sports Match,Evening,8072,Outdoor,14822,31222,49,2026-05-02,4,18.503169,73.239451,0,0,0,1,0,0,0,0,Low
Protest/March,Morning,144663,Outdoor,144663,216994,0,2026-07-05,7,19.36124,73.556514,0,0,1,1,0,1,1,0,High
Sports Match,Evening,4584,Outdoor,9757,34114,32,2026-09-25,6,18.528823,72.884664,0,0,0,1,0,0,1,0,Low
Sports Match,Morning,6635,Outdoor,16697,37652,55,2026-04-10,2,18.950018,73.575409,0,1,0,1,0,0,0,0,Low
Sports Match,Morning,7157,Outdoor,11977,28303,39,2026-07-13,4,19.492536,73.467589,0,0,0,1,0,0,0,0,Low
Sports Match,Evening,6156,Outdoor,16667,41925,55,2026-09-28,3,19.1415,73.76701,0,0,0,1,0,0,1,0,Low
Political Rally,Afternoon,1336352,Outdoor,934979,534540,1,2026-05-14,40,19.112655,73.48681,0,1,1,1,1,0,1,0,High
Private Function,Evening,594,Outdoor,1237,3963,4,2026-06-26,3,18.525386,73.277538,0,1,0,0,0,0,1,0,Low
Private Function,Night,668,Outdoor,1126,2508,3,2026-06-02,6,19.443803,73.422087,0,0,0,0,0,0,0,0,Low
Sports Match,Evening,73526,Indoor,81625,127982,16,2026-05-06,3,18.955465,72.987599,0,1,1,1,1,0,1,0,Medium
Major Concert,Morning,55303,Outdoor,59151,106678,11,2026-05-07,3,18.929516,72.563253,0,0,0,1,1,0,1,1,High
Political Rally,Night,70967,Outdoor,76127,116918,15,2026-08-10,7,19.486154,72.544335,1,1,1,1,1,0,1,0,Medium
Sports Match,Evening,64467,Indoor,66013,105698,13,2026-07-14,3,18.781076,72.588357,0,1,0,1,1,0,1,0,Medium
Political Rally,Morning,740561,Outdoor,621586,296224,3,2026-08-14,46,18.316106,72.520683,0,1,0,1,1,0,1,0,High
Private Function,Morning,931,Indoor,2421,6572,8,2026-09-08,4,18.263615,73.031966,0,0,0,0,0,0,0,0,Low
Political Rally,Morning,54409,Outdoor,54597,70484,10,2026-09-15,8,18.884472,72.818697,1,0,1,1,1,0,1,0,Medium
Sports Match,Night,1787,Outdoor,3105,10585,10,2026-08-19,2,18.554271,72.9053,0,0,0,1,0,0,1,0,Low
Private Function,Evening,185,Indoor,340,1241,3,2026-08-26,2,19.258892,73.183261,0,0,0,0,0,0,1,0,Low
Private Function,Afternoon,641,Indoor,1034,3512,3,2026-05-13,5,19.229889,73.582986,0,0,0,0,0,0,1,0,Low
Political Rally,Afternoon,69301,Outdoor,80414,143357,16,2026-07-03,5,18.160452,73.699642,0,1,1,1,1,0,1,0,Medium
Sports Match,Morning,8200,Outdoor,21544,50760,71,2026-09-07,5,18.945569,73.569567,0,1,0,1,0,0,0,0,Low
Political Rally,Afternoon,22252,Indoor,23567,44937,4,2026-04-06,4,18.127116,73.437275,0,1,0,1,0,0,1,0,Low
Sports Match,Evening,6933,Outdoor,17854,41314,59,2026-06-30,3,18.6782,73.6179,0,0,0,1,0,0,1,0,Low
Protest/March,Evening,153496,Outdoor,153496,230244,0,2026-04-04,4,18.401661,72.583913,0,0,1,1,0,1,1,0,High
Private Function,Evening,921,Outdoor,1508,5081,5,2026-08-18,4,18.405856,73.557774,0,0,0,0,0,0,0,0,Low
Sports Match,Afternoon,5475,Outdoor,9978,28789,33,2026-07-15,3,19.465958,72.822142,0,0,0,1,0,0,1,0,Low
Protest/March,Afternoon,262855,Outdoor,262855,394282,0,2026-06-02,7,18.825242,73.176466,0,0,1,1,0,1,1,0,High
Mega Religious Gathering,Evening,1109343,Outdoor,698420,443737,2,2026-08-14,72,18.869285,73.739777,0,1,0,0,0,1,1,0,High
Political Rally,Night,31825,Indoor,37905,58665,7,2026-05-05,6,19.3601,72.670778,0,1,1,1,1,0,1,0,Medium
Sports Match,Night,6910,Outdoor,12784,26960,42,2026-08-23,6,18.91247,73.700043,0,0,0,1,0,0,1,0,Low
Sports Match,Evening,9208,Outdoor,13996,40004,46,2026-04-12,3,19.144062,72.835754,0,0,0,1,0,0,1,0,Low
Political Rally,Evening,1123700,Outdoor,789290,449480,1,2026-05-28,28,18.688667,73.920238,0,1,0,1,1,0,1,0,High
Major Concert,Afternoon,13949,Outdoor,14322,18297,4,2026-08-09,8,19.176552,73.480975,0,1,0,1,0,0,1,1,Medium
Private Function,Evening,339,Indoor,591,2218,3,2026-07-11,4,18.896017,73.330708,0,0,0,0,0,0,1,0,Low
Major Concert,Afternoon,7778,Indoor,8555,8555,2,2026-06-14,3,19.297319,73.47218,1,1,1,1,0,0,0,1,High
Political Rally,Evening,779005,Outdoor,631842,311602,2,2026-06-13,36,18.737335,73.306659,0,1,0,1,1,0,1,0,High
Political Rally,Morning,54218,Outdoor,64821,112263,12,2026-05-18,7,18.13177,72.866856,1,0,0,1,1,0,1,0,Medium
Major Concert,Evening,18812,Indoor,20693,20693,2,2026-06-24,5,18.249964,73.566515,1,1,0,1,0,0,1,1,High
Political Rally,Afternoon,19565,Indoor,21810,38148,4,2026-05-30,3,19.356358,72.895555,0,1,1,1,0,0,1,0,Low
Sports Match,Afternoon,36230,Indoor,42987,70400,8,2026-09-22,8,18.448037,73.939187,0,1,1,1,1,0,1,0,Medium
Political Rally,Night,1187672,Outdoor,1022726,475068,3,2026-07-24,67,18.737129,72.757348,0,1,1,1,1,0,1,0,High
Private Function,Afternoon,233,Indoor,565,1820,3,2026-04-17,2,18.856802,72.905453,0,1,0,0,0,0,1,0,Low
Sports Match,Night,6920,Outdoor,15560,41539,51,2026-06-28,5,18.997425,73.128795,0,0,0,1,0,0,0,0,Low
Sports Match,Afternoon,75028,Indoor,84683,106151,16,2026-09-17,5,18.041346,73.539563,0,1,1,1,1,0,1,0,Medium
Major Concert,Evening,18588,Indoor,20446,20446,2,2026-09-25,6,18.281749,73.310475,1,1,0,1,0,0,1,1,High
Major Concert,Night,50649,Indoor,52743,84875,10,2026-08-26,5,19.023913,73.45589,0,0,1,1,1,0,1,1,Medium
Political Rally,Night,1594935,Outdoor,1093747,637974,3,2026-07-26,51,18.655009,73.57564,0,1,1,0,1,0,1,0,Medium
Sports Match,Afternoon,2910,Outdoor,5201,14778,17,2026-05-07,2,18.18912,73.036986,0,0,0,1,0,0,1,0,Low
Sports Match,Morning,68606,Indoor,69690,131099,13,2026-04-20,3,18.174255,72.578628,0,1,1,1,1,0,1,0,Medium
Major Concert,Afternoon,14185,Outdoor,15050,24847,4,2026-05-30,5,18.09325,72.948735,1,0,0,1,0,0,1,1,Low
Private Function,Night,1136,Indoor,2769,8990,9,2026-05-16,3,19.174777,73.545428,0,0,0,0,0,0,1,0,Low
Major Concert,Afternoon,19251,Indoor,21176,21176,2,2026-07-20,6,18.802217,72.637761,1,1,1,1,0,0,1,1,High
Sports Match,Morning,9179,Outdoor,22678,87554,75,2026-08-27,5,18.775556,72.761579,0,0,0,1,0,0,0,0,Low
Political Rally,Evening,30555,Outdoor,35261,42788,7,2026-05-02,3,18.319873,73.65628,0,1,1,1,1,0,1,0,Medium
Private Function,Night,1203,Indoor,3547,9748,11,2026-05-30,4,18.872822,73.738399,0,0,0,0,0,0,1,0,Low
Sports Match,Morning,5439,Outdoor,8671,29538,28,2026-07-26,3,18.71205,73.754213,0,0,0,1,0,0,0,0,Low
Political Rally,Night,2499795,Outdoor,1848286,999918,2,2026-04-04,72,18.854896,73.292466,0,1,0,1,1,0,1,0,High
Sports Match,Night,9304,Outdoor,16281,59706,54,2026-07-21,2,18.804604,73.683123,0,0,0,1,0,0,0,0,Low
Major Concert,Afternoon,9039,Indoor,9942,9942,2,2026-04-19,6,18.735629,73.917458,1,1,0,1,0,0,0,1,High
Private Function,Morning,1218,Outdoor,3354,8968,11,2026-05-27,3,19.11303,73.524113,0,1,0,0,0,0,1,0,Low
Sports Match,Afternoon,26128,Outdoor,26704,38250,5,2026-06-22,6,18.095272,73.982729,0,1,0,1,0,0,1,0,Medium
Sports Match,Night,3215,Outdoor,6619,13386,22,2026-05-06,6,18.10524,72.697704,0,0,0,1,0,0,0,0,Low
Major Concert,Morning,6054,Indoor,6659,6659,2,2026-07-06,4,18.730155,73.705398,1,1,0,1,0,0,0,1,High
Political Rally,Afternoon,1754213,Outdoor,1363016,701685,3,2026-08-30,59,19.457698,73.62247,0,1,1,1,1,0,1,0,High
Private Function,Afternoon,605,Outdoor,1494,5006,4,2026-04-16,2,19.147388,73.966895,0,0,0,0,0,0,1,0,Low
Sports Match,Morning,7859,Outdoor,14174,43247,47,2026-06-29,6,19.215601,73.362033,0,0,0,1,0,0,1,0,Low
Private Function,Evening,895,Indoor,1349,4823,4,2026-04-25,2,18.402293,72.549863,0,0,0,0,0,0,1,0,Low
Private Function,Morning,721,Outdoor,1362,4936,4,2026-08-14,2,18.849363,72.786864,0,0,0,0,0,0,0,0,Low
Protest/March,Afternoon,209670,Outdoor,209670,314505,0,2026-04-01,6,18.068185,73.367348,0,0,1,1,0,1,1,0,High
Mega Religious Gathering,Evening,761840,Outdoor,659196,304736,3,2026-08-25,62,19.254873,73.433752,0,1,1,1,0,1,1,0,High
